,during_distraction_int,speed_kmh,model_prob_start,model_prob_end,emotion_prob,seconds_from_distraction_start,seconds_to_distraction_end,seconds_to_nearest_distraction,distraction_hr_bpm_start,distraction_hr_bpm_end,distraction_hr_bpm_avg,distraction_arousal_start,distraction_arousal_end,distraction_arousal_avg,distraction_model_prob_start,distraction_model_prob_end,distraction_emotion_prob_start,distraction_emotion_prob_end
during_distraction_int,1.0,-0.1365403066265088,0.08517718260353759,0.08517718260353759,0.027689043428144097,,,-0.5919163484003881,,,,,,,,,,
speed_kmh,-0.1365403066265088,1.0,0.0792143269507138,0.0792143269507138,0.10424614843688111,0.3802197802197802,-0.3274725274725274,0.18457258427196782,0.09513483882591413,0.13907420312833116,0.04851184199322681,0.13592873654160803,0.272606196769941,0.30684625769584184,-0.20254787341673333,-0.09635257977162426,-0.013230502361789132,0.1278948561639616
model_prob_start,0.08517718260353759,0.0792143269507138,1.0,1.0,0.038324927167291696,-0.0036062094687576577,0.5084755350948297,0.10947485836710232,0.40295491367933817,0.3042619629633303,0.4016154476560742,0.26462806201248157,0.23658797850201244,0.23181863844825168,-0.1661728384207144,0.5781860622914003,0.12663550151317657,0.3075433608177145
model_prob_end,0.08517718260353759,0.0792143269507138,1.0,1.0,0.038324927167291696,-0.0036062094687576577,0.5084755350948297,0.10947485836710232,0.40295491367933817,0.3042619629633303,0.4016154476560742,0.26462806201248157,0.23658797850201244,0.23181863844825168,-0.1661728384207144,0.5781860622914003,0.12663550151317657,0.3075433608177145
emotion_prob,0.027689043428144097,0.10424614843688111,0.038324927167291696,0.038324927167291696,1.0,0.09492366245267049,-0.28918604142557747,0.08107989429674516,-0.20222272153820048,-0.1796008869179601,-0.21926923744360477,0.08926159026727712,0.23760582314806042,0.23946784922394682,0.0,-0.5032503876523322,-0.06866006425001765,0.2148395558790875
seconds_from_distraction_start,,0.3802197802197802,-0.0036062094687576577,-0.0036062094687576577,0.09492366245267049,1.0,-0.4769230769230769,,0.3429279073957369,0.2472430277836999,0.21830328896952064,0.205280132736306,0.2681003092200246,0.2759408792228793,-0.45573271518765,0.22574032975066252,0.04630675826626196,0.002205083726964855
seconds_to_distraction_end,,-0.3274725274725274,0.5084755350948297,0.5084755350948297,-0.28918604142557747,-0.4769230769230769,1.0,,0.1946945538762894,0.2053000141418222,0.27784054959757176,-0.14702495993275969,-0.15770606424707329,-0.23399786558100166,-0.25318484177091666,0.5340685850198601,-0.00441016745392971,-0.1278948561639616
seconds_to_nearest_distraction,-0.5919163484003881,0.18457258427196782,0.10947485836710232,0.10947485836710232,0.08107989429674516,,,1.0,,,,,,,,,,
distraction_hr_bpm_start,,0.09513483882591413,0.40295491367933817,0.40295491367933817,-0.20222272153820048,0.3429279073957369,0.1946945538762894,,1.0,0.8533354403370218,0.8856874845001752,0.4251752410146696,0.5193598391738533,0.4422233141329878,-0.10194835439389331,0.7870388499267766,-0.006659304394738159,0.2907896252368996
distraction_hr_bpm_end,,0.13907420312833116,0.3042619629633303,0.3042619629633303,-0.1796008869179601,0.2472430277836999,0.2053000141418222,,0.8533354403370218,1.0,0.9856041481050922,0.15062893357603013,0.4276904816665088,0.3126385809312639,0.1017220536611149,0.7189291252176174,0.002214840782258634,0.5027688575727101
distraction_hr_bpm_avg,,0.04851184199322681,0.4016154476560742,0.4016154476560742,-0.21926923744360477,0.21830328896952064,0.27784054959757176,,0.8856874845001752,0.9856041481050922,1.0,0.24791471072748275,0.4769460866172788,0.36101904750815733,0.10160946695958606,0.7844226470646753,-0.03539823008849557,0.5132743362831858
distraction_arousal_start,,0.13592873654160803,0.26462806201248157,0.26462806201248157,0.08926159026727712,0.205280132736306,-0.14702495993275969,,0.4251752410146696,0.15062893357603013,0.24791471072748275,1.0,0.9100808141637795,0.945614971893967,0.17260861993564697,0.14230503589162163,-0.30362588167747884,0.40390598938747185
distraction_arousal_end,,0.272606196769941,0.23658797850201244,0.23658797850201244,0.23760582314806042,0.2681003092200246,-0.15770606424707329,,0.5193598391738533,0.4276904816665088,0.4769460866172788,0.9100808141637795,1.0,0.9798411564105729,0.2076296815980882,0.17214201722453107,-0.40913384681387427,0.5221542464862152
distraction_arousal_avg,,0.30684625769584184,0.23181863844825168,0.23181863844825168,0.23946784922394682,0.2759408792228793,-0.23399786558100166,,0.4422233141329878,0.3126385809312639,0.36101904750815733,0.945614971893967,0.9798411564105729,1.0,0.2034441073222298,0.09816147671240547,-0.31450739108072606,0.5049836983549686
distraction_model_prob_start,,-0.20254787341673333,-0.1661728384207144,-0.1661728384207144,0.0,-0.45573271518765,-0.25318484177091666,,-0.10194835439389331,0.1017220536611149,0.10160946695958606,0.17260861993564697,0.2076296815980882,0.2034441073222298,1.0,-0.2537081317024624,0.0,0.6096568017575162
distraction_model_prob_end,,-0.09635257977162426,0.5781860622914003,0.5781860622914003,-0.5032503876523322,0.22574032975066252,0.5340685850198601,,0.7870388499267766,0.7189291252176174,0.7844226470646753,0.14230503589162163,0.17214201722453107,0.09816147671240547,-0.2537081317024624,1.0,0.17400924917279773,0.21544002278536856
distraction_emotion_prob_start,,-0.013230502361789132,0.12663550151317657,0.12663550151317657,-0.06866006425001765,0.04630675826626196,-0.00441016745392971,,-0.006659304394738159,0.002214840782258634,-0.03539823008849557,-0.30362588167747884,-0.40913384681387427,-0.31450739108072606,0.0,0.17400924917279773,1.0,0.2212389380530973
distraction_emotion_prob_end,,0.1278948561639616,0.3075433608177145,0.3075433608177145,0.2148395558790875,0.002205083726964855,-0.1278948561639616,,0.2907896252368996,0.5027688575727101,0.5132743362831858,0.40390598938747185,0.5221542464862152,0.5049836983549686,0.6096568017575162,0.21544002278536856,0.2212389380530973,1.0
