,during_distraction_int,speed_kmh,model_prob_start,model_prob_end,emotion_prob,seconds_from_distraction_start,seconds_to_distraction_end,seconds_to_nearest_distraction,distraction_hr_bpm_start,distraction_hr_bpm_end,distraction_hr_bpm_avg,distraction_arousal_start,distraction_arousal_end,distraction_arousal_avg,distraction_model_prob_start,distraction_model_prob_end,distraction_emotion_prob_start,distraction_emotion_prob_end
during_distraction_int,0.0,0.16694216344123536,0.38995142375117975,0.38995142375117975,0.7802336127300902,,,3.656163522831764e-11,,,,,,,,,,
speed_kmh,0.16694216344123536,0.0,0.42410237619581104,0.42410237619581104,0.29228148315662794,0.17990614630608154,0.2530710007719406,0.06069948646447895,0.7463098284573326,0.6353801413456487,0.8691905681144615,0.6579245463596597,0.34571661252324726,0.28593294953107923,0.4873949362586204,0.7431617137268649,0.9641950633696895,0.6630399779308371
model_prob_start,0.38995142375117975,0.42410237619581104,0.0,0.0,0.6993061240982098,0.9902380898605929,0.06336276658521699,0.26861214246409,0.15312779152569583,0.29021844970947275,0.15462774235390195,0.3822705896574121,0.4154403197447146,0.4251778806029547,0.570194788989736,0.030324902214416333,0.6661818105669207,0.2847833475100859
model_prob_end,0.38995142375117975,0.42410237619581104,0.0,0.0,0.6993061240982098,0.9902380898605929,0.06336276658521699,0.26861214246409,0.15312779152569583,0.29021844970947275,0.15462774235390195,0.3822705896574121,0.4154403197447146,0.4251778806029547,0.570194788989736,0.030324902214416333,0.6661818105669207,0.2847833475100859
emotion_prob,0.7802336127300902,0.29228148315662794,0.6993061240982098,0.6993061240982098,0.0,0.7468561394013304,0.31595993471467343,0.4132369045778732,0.4881090437074864,0.5389637788667102,0.4513432857214943,0.7718259854651383,0.41337712533612736,0.4096164328938571,1.0,0.06658953460312436,0.8155871691933017,0.4607637307686139
seconds_from_distraction_start,,0.17990614630608154,0.9902380898605929,0.9902380898605929,0.7468561394013304,0.0,0.0846484341946868,,0.23001627902611943,0.3941056423000707,0.4533894204845651,0.5010794391532627,0.3540622194967141,0.33961105804224767,0.10148628239647439,0.4377536542917797,0.875093004326327,0.9940308178165446
seconds_to_distraction_end,,0.2530710007719406,0.06336276658521699,0.06336276658521699,0.31595993471467343,0.0846484341946868,0.0,,0.5047784571827589,0.4813702970987651,0.3361599415600548,0.631717189158377,0.590262381177941,0.4207142769310994,0.3824639089630347,0.04915857751681792,0.9880619258721445,0.6630399779308371
seconds_to_nearest_distraction,3.656163522831764e-11,0.06069948646447895,0.26861214246409,0.26861214246409,0.4132369045778732,,,0.0,,,,,,,,,,
distraction_hr_bpm_start,,0.7463098284573326,0.15312779152569583,0.15312779152569583,0.4881090437074864,0.23001627902611943,0.5047784571827589,,0.0,0.000103964761649916,2.50737912855019e-05,0.14752475744121102,0.05700347340295138,0.1133528510469097,0.7287440381735671,0.0008363729387195192,0.9819743872108583,0.31316197264486106
distraction_hr_bpm_end,,0.6353801413456487,0.29021844970947275,0.29021844970947275,0.5389637788667102,0.3941056423000707,0.4813702970987651,,0.000103964761649916,0.0,1.245893679219545e-10,0.6232880061250958,0.12714038353311605,0.27646337565872403,0.7293255286213327,0.0037618880083194295,0.9940044058079393,0.06689269013143305
distraction_hr_bpm_avg,,0.8691905681144615,0.15462774235390195,0.15462774235390195,0.4513432857214943,0.4533894204845651,0.3361599415600548,,2.50737912855019e-05,1.245893679219545e-10,0.0,0.41411690284004665,0.08463129499832664,0.20473652535022738,0.7296148758897667,0.0008944603974450613,0.9043757025531887,0.06049938984483418
distraction_arousal_start,,0.6579245463596597,0.3822705896574121,0.3822705896574121,0.7718259854651383,0.5010794391532627,0.631717189158377,,0.14752475744121102,0.6232880061250958,0.41411690284004665,0.0,1.576054871749784e-05,1.0635107552876477e-06,0.572820869930019,0.6428185779123926,0.3132126017543734,0.17107941875003133
distraction_arousal_end,,0.34571661252324726,0.4154403197447146,0.4154403197447146,0.41337712533612736,0.3540622194967141,0.590262381177941,,0.05700347340295138,0.12714038353311605,0.08463129499832664,1.576054871749784e-05,0.0,9.277919829916201e-10,0.4762981626771544,0.5562194787481943,0.14633299147678386,0.05544799247821617
distraction_arousal_avg,,0.28593294953107923,0.4251778806029547,0.4251778806029547,0.4096164328938571,0.33961105804224767,0.4207142769310994,,0.1133528510469097,0.27646337565872403,0.20473652535022738,1.0635107552876477e-06,9.277919829916201e-10,0.0,0.4854291424175027,0.738492228801184,0.27344827899976243,0.06550641848572741
distraction_model_prob_start,,0.4873949362586204,0.570194788989736,0.570194788989736,1.0,0.10148628239647439,0.3824639089630347,,0.7287440381735671,0.7293255286213327,0.7296148758897667,0.572820869930019,0.4762981626771544,0.4854291424175027,0.0,0.38144749802731126,1.0,0.020626190967955434
distraction_model_prob_end,,0.7431617137268649,0.030324902214416333,0.030324902214416333,0.06658953460312436,0.4377536542917797,0.04915857751681792,,0.0008363729387195192,0.0037618880083194295,0.0008944603974450613,0.6428185779123926,0.5562194787481943,0.738492228801184,0.38144749802731126,0.0,0.5518778761826973,0.4594811784884305
