user_id,run_id,weather,map_name,start_x,start_y,start_z,end_x,end_y,end_z,speed_kmh_start,speed_kmh_end,steer_angle_deg_start,steer_angle_deg_end,timestamp_start,timestamp_end,details
participant_01,7.0,day,Town10HD_Opt,-32.44614791870117,70.91014862060547,0.0019976426847279,-32.44614791870117,70.91014862060547,0.0019976426847279,22.851,22.851,13.36,13.36,2026-03-05 10:30:09.073460,2026-03-05 10:30:13.332149,window_2
participant_01,7.0,day,Town10HD_Opt,4.835678577423096,68.43873596191406,0.0017146313330158,4.835678577423096,68.43873596191406,0.0017146313330158,27.968,27.968,-1.556,-1.556,2026-03-05 10:30:19.138257,2026-03-05 10:30:22.406304,window_2
participant_01,7.0,day,Town10HD_Opt,34.732120513916016,68.26322937011719,0.0018993378616869,34.732120513916016,68.26322937011719,0.0018993378616869,8.915,8.915,-13.965,-13.965,2026-03-05 10:30:32.272691,2026-03-05 10:30:37.569046,window_2
participant_01,7.0,day,Town10HD_Opt,49.15219497680664,31.527000427246094,0.0020824430976063,49.15219497680664,31.527000427246094,0.0020824430976063,18.183,18.183,15.203,15.203,2026-03-05 10:30:47.872510,2026-03-05 10:30:52.742764,window_1
participant_01,7.0,day,Town10HD_Opt,74.59008026123047,25.32138633728028,0.0019199752714484,74.59008026123047,25.32138633728028,0.0019199752714484,0.0,0.0,-0.545,-0.545,2026-03-05 10:31:01.611256,2026-03-05 10:31:04.568873,window_2
participant_01,7.0,day,Town10HD_Opt,74.65269470214844,25.318708419799805,0.001919288537465,74.65269470214844,25.318708419799805,0.001919288537465,0.045,0.045,2.464,2.464,2026-03-05 10:31:11.974833,2026-03-05 10:31:14.681598,window_1
participant_01,7.0,day,Town10HD_Opt,107.56153869628906,3.30647087097168,0.0019234089413657,107.56153869628906,3.30647087097168,0.0019234089413657,32.375,32.375,-5.441,-5.441,2026-03-05 10:31:23.697304,2026-03-05 10:31:29.000405,window_2
participant_01,7.0,day,Town10HD_Opt,85.3444595336914,-63.06044387817383,0.0018976216670125,85.3444595336914,-63.06044387817383,0.0018976216670125,33.139,33.139,-8.351,-8.351,2026-03-05 10:31:39.217186,2026-03-05 10:31:42.085618,window_1
participant_01,7.0,day,Town10HD_Opt,-0.4826411306858063,-67.33867645263672,0.0020255271811038,-0.4826411306858063,-67.33867645263672,0.0020255271811038,16.083,16.083,0.783,0.783,2026-03-05 10:31:53.649070,2026-03-05 10:31:58.665764,window_2
participant_01,7.0,day,Town10HD_Opt,-63.73600387573242,-64.89720916748047,0.0021033093798905,-63.73600387573242,-64.89720916748047,0.0021033093798905,48.447,48.447,-1.923,-1.923,2026-03-05 10:32:08.275520,2026-03-05 10:32:11.771959,window_2
participant_01,7.0,day,Town10HD_Opt,-111.00416564941406,-12.633031845092772,0.0021392814815044,-111.00416564941406,-12.633031845092772,0.0021392814815044,6.827,6.827,2.174,2.174,2026-03-05 10:32:19.798281,2026-03-05 10:32:24.072107,window_1
participant_01,7.0,day,Town10HD_Opt,-111.3447036743164,-7.917417526245117,0.0019462201744318,-111.3447036743164,-7.917417526245117,0.0019462201744318,2.897,2.897,0.042,0.042,2026-03-05 10:32:31.499698,2026-03-05 10:32:36.232447,window_2
participant_01,7.0,day,Town10HD_Opt,-101.0822525024414,29.23808860778809,0.0021232983563095,-101.0822525024414,29.23808860778809,0.0021232983563095,19.206,19.206,-12.495,-12.495,2026-03-05 10:32:45.618875,2026-03-05 10:32:48.132771,window_1
participant_01,7.0,day,Town10HD_Opt,-69.92729949951172,27.816368103027344,0.0024314485490322,-69.92729949951172,27.816368103027344,0.0024314485490322,21.086,21.086,-0.665,-0.665,2026-03-05 10:32:54.058969,2026-03-05 10:32:57.802483,window_2
