user_id,run_id,weather,map_name,error_type,model_pred,model_prob,emotion_label,emotion_prob,speed_kmh,steer_angle_deg,timestamp,frame,sim_time_seconds,x,y,z,road_id,lane_id,details
participant_01,1,day,Town10HD,Stop sign violation,phone_call,0.675,fear,0.693,29.254,2.597,2026-02-17 08:28:12.478923,1000,2.586,31.284569,12.054,0.0,1,1,synth_sev=0.410;risk=0.732
participant_01,1,day,Town10HD,Stop sign violation,phone_call,0.666,fear,0.687,32.941,-4.758,2026-02-17 08:28:13.905491,1001,4.013,-29.497862,-33.058361,0.0,1,1,synth_sev=0.410;risk=0.732
participant_01,1,day,Town10HD,Red light violation,reach_back,0.745,fear,0.718,37.042,-2.836,2026-02-17 08:28:19.698736,1000,1.056,6.209081,-2.225972,0.0,1,1,synth_sev=0.422;risk=0.750
participant_01,1,day,Town10HD,Harsh braking,reach_back,0.747,fear,0.716,32.1,2.896,2026-02-17 08:28:20.875521,1001,2.232,-87.891135,-3.885193,0.0,1,1,synth_sev=0.422;risk=0.750
participant_01,1,day,Town10HD,Harsh braking,reach_back,0.65,angry,0.745,35.361,-21.227,2026-02-17 08:28:40.475182,1000,1.94,46.464161,52.923372,0.0,1,1,synth_sev=0.445;risk=0.744
participant_01,1,day,Town10HD,Harsh braking,reach_back,0.648,angry,0.755,32.79,-4.244,2026-02-17 08:28:42.217339,1001,3.682,52.112317,37.683684,0.0,1,1,synth_sev=0.445;risk=0.744
participant_01,1,day,Town10HD,Harsh braking,pick_floor,0.608,angry,0.685,29.178,9.723,2026-02-17 08:28:50.459194,1000,2.543,-15.675334,-29.005873,0.0,1,1,synth_sev=0.373;risk=0.683
participant_01,1,day,Town10HD,Red light violation,pick_floor,0.616,angry,0.661,34.708,-17.359,2026-02-17 08:28:51.778533,1001,3.863,13.800036,41.559152,0.0,1,1,synth_sev=0.373;risk=0.683
participant_01,1,day,Town10HD,Harsh braking,eat,0.607,fear,0.783,38.044,1.339,2026-02-17 08:29:15.472465,1000,1.848,-37.597081,-26.580897,0.0,1,1,synth_sev=0.487;risk=0.788
participant_01,1,day,Town10HD,Red light violation,eat,0.608,fear,0.762,30.944,-3.012,2026-02-17 08:29:16.748793,1001,3.125,59.310178,-87.258397,0.0,1,1,synth_sev=0.487;risk=0.788
participant_01,1,day,Town10HD,Solid line crossing,eat,0.608,fear,0.766,28.09,3.465,2026-02-17 08:29:18.088747,1002,4.465,8.093541,-35.902646,0.0,1,1,synth_sev=0.487;risk=0.788
participant_01,1,day,Town10HD,Stop sign violation,eat,0.611,sad,0.669,30.794,-5.85,2026-02-17 08:29:23.565677,1000,2.312,-111.003075,-23.238246,0.0,1,1,synth_sev=0.409;risk=0.699
participant_01,1,day,Town10HD,Stop sign violation,eat,0.616,sad,0.663,34.644,21.016,2026-02-17 08:29:24.660097,1001,3.407,-21.718581,-31.854059,0.0,1,1,synth_sev=0.409;risk=0.699
participant_01,1,day,Town10HD,Red light violation,reach_back,0.584,sad,0.665,28.815,-1.545,2026-02-17 08:29:50.609475,1000,2.686,66.168974,-3.642745,0.0,1,1,synth_sev=0.345;risk=0.648
participant_01,1,day,Town10HD,Stop sign violation,reach_back,0.58,sad,0.657,31.522,-9.396,2026-02-17 08:29:51.071586,1001,3.149,21.155153,-47.604645,0.0,1,1,synth_sev=0.345;risk=0.648
participant_01,1,day,Town10HD,Stop sign violation,pick_floor,0.648,angry,0.738,30.001,-22.623,2026-02-17 08:29:56.554749,1000,1.046,-14.666178,16.812235,0.0,1,1,synth_sev=0.443;risk=0.740
participant_01,1,day,Town10HD,Red light violation,pick_floor,0.646,angry,0.746,26.133,8.22,2026-02-17 08:29:58.280478,1001,2.772,1.47456,77.918039,0.0,1,1,synth_sev=0.443;risk=0.740
participant_01,1,day,Town10HD,Red light violation,reach_back,0.651,angry,0.701,29.66,-14.791,2026-02-17 08:30:20.347253,1000,1.181,17.291066,-66.960009,0.0,1,1,synth_sev=0.420;risk=0.741
participant_01,1,day,Town10HD,Solid line crossing,reach_back,0.647,angry,0.699,34.929,17.96,2026-02-17 08:30:22.885239,1001,3.719,-30.108968,-18.834208,0.0,1,1,synth_sev=0.420;risk=0.741
participant_01,1,day,Town10HD,Stop sign violation,eat,0.622,sad,0.703,33.896,-0.257,2026-02-17 08:30:28.449767,1000,1.926,49.749756,-15.088614,0.0,1,1,synth_sev=0.435;risk=0.733
participant_01,1,day,Town10HD,Stop sign violation,eat,0.606,sad,0.692,31.043,-21.664,2026-02-17 08:30:30.764124,1001,4.241,-6.431796,52.084828,0.0,1,1,synth_sev=0.435;risk=0.733
participant_01,1,day,Town10HD,Harsh braking,eat,0.632,sad,0.735,31.446,-2.374,2026-02-17 08:30:54.650750,1000,3.823,-2.480775,48.848558,0.0,1,1,synth_sev=0.458;risk=0.746
participant_01,1,day,Town10HD,Harsh braking,eat,0.624,sad,0.748,28.844,-16.807,2026-02-17 08:30:56.159916,1001,5.332,-54.883489,37.899338,0.0,1,1,synth_sev=0.458;risk=0.746
participant_01,1,day,Town10HD,Solid line crossing,eat,0.63,sad,0.733,27.559,-7.394,2026-02-17 08:31:02.490578,1000,2.376,-24.948346,47.647195,0.0,1,1,synth_sev=0.405;risk=0.748
participant_01,1,day,Town10HD,Red light violation,eat,0.623,sad,0.74,24.718,-4.164,2026-02-17 08:31:03.421135,1001,3.306,-33.345917,27.568458,0.0,1,1,synth_sev=0.405;risk=0.748
participant_01,1,day,Town10HD,Red light violation,pick_floor,0.61,angry,0.73,26.396,-3.561,2026-02-17 08:31:30.700121,1000,2.177,-68.533406,-24.027105,0.0,1,1,synth_sev=0.436;risk=0.759
participant_01,1,day,Town10HD,Stop sign violation,pick_floor,0.608,angry,0.728,33.297,-9.08,2026-02-17 08:31:30.794284,1001,2.271,-14.733834,-39.251714,0.0,1,1,synth_sev=0.436;risk=0.759
participant_01,1,day,Town10HD,Red light violation,pick_floor,0.685,sad,0.749,33.334,17.344,2026-02-17 08:31:37.701012,1000,2.236,42.390796,64.246224,0.0,1,1,synth_sev=0.455;risk=0.760
participant_01,1,day,Town10HD,Red light violation,pick_floor,0.684,sad,0.73,32.058,2.087,2026-02-17 08:31:38.789718,1001,3.324,-11.840594,-68.79278,0.0,1,1,synth_sev=0.455;risk=0.760
participant_01,1,day,Town10HD,Solid line crossing,eat,0.654,angry,0.757,40.402,1.969,2026-02-17 08:31:59.645429,1000,2.042,30.951226,-57.06403,0.0,1,1,synth_sev=0.491;risk=0.792
participant_01,1,day,Town10HD,Harsh braking,eat,0.667,angry,0.776,33.17,9.43,2026-02-17 08:32:00.359665,1001,2.756,60.408436,-28.976055,0.0,1,1,synth_sev=0.491;risk=0.792
participant_01,1,day,Town10HD,Harsh braking,eat,0.657,angry,0.762,33.617,-8.989,2026-02-17 08:32:01.523606,1002,3.92,-15.89753,-80.19347,0.0,1,1,synth_sev=0.491;risk=0.792
participant_01,1,day,Town10HD,Harsh braking,reach_back,0.561,sad,0.652,31.258,14.865,2026-02-17 08:32:13.319309,1000,2.039,-27.262228,21.392584,0.0,1,1,synth_sev=0.430;risk=0.692
