bin,gt_rate_per_sec,raw_model_mean,calibrated_model_mean,n_errors,exposure
0,0.07505598193338253,0.23582272231578827,0.08199995756149292,0,0.0
1,0.11870080231189183,0.2125817984342575,0.08518826216459274,200,1650.0
2,0.07728068396869656,0.1558663249015808,0.07752569019794464,130,1650.0
3,0.05752950144914753,0.10671548545360565,0.057664014399051666,92,1650.0
4,0.05752950144914753,0.110115647315979,0.05760781839489937,99,1611.0
5,0.046514238306027925,0.09737560153007507,0.04704326391220093,71,1547.0
6,0.046514238306027925,0.09386516362428665,0.04697515070438385,60,1215.0
7,0.03180222059695671,0.12168046832084656,0.03232436999678612,36,1111.0
8,0.029939720759501534,0.13525007665157318,0.03035208210349083,32,1049.0
9,0.025581111449131895,0.17201848328113556,0.025696447119116783,26,1000.0
