id,future_event_recovery,future_risk_score_recovery,hr_delta_10s_recovery,hr_slope_10s_recovery,hr_slope_change_10s_recovery,hr_burden_plus3_recent10_recovery,hr_deviation_local_recovery,future_event_control,future_risk_score_control,hr_delta_10s_control,hr_slope_10s_control,hr_slope_change_10s_control,hr_burden_plus3_recent10_control,hr_deviation_local_control,future_event_delta,future_risk_score_delta,hr_delta_10s_delta,hr_slope_10s_delta,hr_slope_change_10s_delta,hr_burden_plus3_recent10_delta,hr_deviation_local_delta,n_recovery,n_control
0A01,0.0,0.0,-0.7916666666666679,-0.16338383838383774,-0.13333333333333333,0.23750000000000002,0.20833333333333334,0.05,0.25,-0.15249999999999914,0.10651515151515231,0.25984848484848444,0.14,-0.0875,-0.05,-0.25,-0.6391666666666687,-0.2698989898989901,-0.39318181818181774,0.0975,0.29583333333333334,24,40
0A06,0.0,0.0,0.585714285714287,0.14025974025974206,0.12380952380952374,0.0,-1.5714285714285714,0.06896551724137931,0.3448275862068966,0.07586206896551782,-0.02340647857889166,-0.07314524555903873,0.07586206896551725,-0.3620689655172414,-0.06896551724137931,-0.3448275862068966,0.5098522167487691,0.16366621883863372,0.1969547693685625,-0.07586206896551725,-1.20935960591133,7,29
0A07R,0.0,0.0,-1.0749999999999984,-0.15151515151515085,-0.2030303030303032,0.025,-2.0,0.0,0.0,-0.03125,0.07064393939393976,0.09621212121212061,0.0625,-1.125,0.0,0.0,-1.0437499999999984,-0.2221590909090906,-0.2992424242424238,-0.0375,-0.875,8,32
0A08,0.0,0.0,0.11666666666666477,-0.13636363636363594,-0.1848484848484858,0.0,-0.8333333333333334,0.019230769230769232,0.057692307692307696,0.14615384615384605,-0.0036130536130522498,-0.004662004662004265,0.055769230769230765,0.15384615384615385,-0.019230769230769232,-0.057692307692307696,-0.029487179487181284,-0.13275058275058368,-0.18018648018648153,-0.055769230769230765,-0.9871794871794872,6,52
0A10,0.07142857142857142,0.21428571428571427,0.457142857142857,-0.07878787878787884,-0.11341991341991352,0.38571428571428573,2.0714285714285716,0.0,0.0,-0.007692307692307255,0.10815850815850858,0.19347319347319344,0.061538461538461535,0.23076923076923078,0.07142857142857142,0.21428571428571427,0.4648351648351643,-0.18694638694638743,-0.30689310689310695,0.3241758241758242,1.8406593406593408,14,13
0B06,0.0,0.0,-1.4333333333333325,-0.05656565656565682,0.15555555555555423,0.0,0.16666666666666666,0.058823529411764705,0.29411764705882354,0.20000000000000034,0.07985739750445772,0.09554367201426037,0.0,-0.23529411764705882,-0.058823529411764705,-0.29411764705882354,-1.6333333333333329,-0.13642305407011454,0.06001188354129386,0.0,0.4019607843137255,3,17
0B08R,0.0,0.0,-1.2000000000000028,-0.2818181818181824,-0.5272727272727289,0.0,-3.5,0.17647058823529413,0.47058823529411764,0.07647058823529396,0.03137254901960833,0.037433155080213554,0.0,-0.17647058823529413,-0.17647058823529413,-0.47058823529411764,-1.2764705882352967,-0.31319073083779075,-0.5647058823529425,0.0,-3.323529411764706,2,17
0C03,0.1,0.3,0.2799999999999997,-0.08848484848484753,-0.17939393939393883,0.55,3.45,0.08333333333333333,0.25,-0.5194444444444434,-0.09999999999999903,-0.1341750841750844,0.35277777777777775,1.5416666666666667,0.016666666666666677,0.04999999999999999,0.7994444444444431,0.011515151515151506,-0.04521885521885444,0.1972222222222223,1.9083333333333334,10,36
0C07R,0.0,0.0,0.44999999999999574,-0.24848484848484803,-0.5181818181818182,0.0,-2.0,0.04878048780487805,0.24390243902439024,-0.49024390243902427,-0.015964523281595793,-0.00014781966001501038,0.0951219512195122,0.1951219512195122,-0.04878048780487805,-0.24390243902439024,0.94024390243902,-0.23252032520325225,-0.5180339985218032,-0.0951219512195122,-2.1951219512195124,2,41
0C10,0.0,0.0,1.5333333333333314,0.19494949494949462,0.088888888888888,0.0,0.3333333333333333,0.06666666666666667,0.3333333333333333,-0.046666666666667564,-0.010505050505049423,0.02101010101010102,0.16666666666666666,0.31666666666666665,-0.06666666666666667,-0.3333333333333333,1.579999999999999,0.20545454545454406,0.06787878787878698,-0.16666666666666666,0.016666666666666663,6,30
0C11,0.0,0.0,6.100000000000001,0.38484848484848627,-0.08484848484848564,1.0,10.5,0.19047619047619047,0.4603174603174603,0.6190476190476184,-0.0038480038480023194,-0.0652236652236656,0.31111111111111106,1.0,-0.19047619047619047,-0.4603174603174603,5.480952380952383,0.3886964886964886,-0.019624819624820045,0.6888888888888889,9.5,2,63
0D01,0.0,0.0,0.7166666666666662,0.2212121212121229,0.21717171717171813,0.8166666666666668,6.0,0.011764705882352941,0.058823529411764705,-0.18352941176470514,0.0024955436720159613,0.009839572192513458,0.14823529411764705,-0.36470588235294116,-0.011764705882352941,-0.058823529411764705,0.9001960784313714,0.21871657754010693,0.20733214497920466,0.6684313725490197,6.364705882352941,6,85
0D06,0.0,0.0,-2.1499999999999986,-0.14848484848484705,0.12424242424242496,0.0,-6.0,0.0,0.0,-0.06842105263157805,-0.06124401913875522,-0.07432216905901144,0.13157894736842105,0.9736842105263158,0.0,0.0,-2.0815789473684205,-0.08724082934609184,0.1985645933014364,-0.13157894736842105,-6.973684210526316,2,19
