Trial,Phase,TargetQuadrant,ClickedQuadrant,Correct,ResponseTime_ms,ResponseTime_s,Timeout,TrialStart_UTC_ms,ResponseTimestamp_UTC_ms,subject_id,canonical_subject_id,session_number,session_id,condition,route,order_subgroup,source_file,TrialStart_dt,Response_dt,offline_activation_anchor_dt,offline_activation_annotation_type,offline_activation_reference_label,offline_activation_roll_window_seconds,baseline_first_session_lqm,hr_burden_above_baseline_plus_3bpm_session,hr_burden_above_baseline_plus_3bpm_session_100,hr_burden_above_baseline_plus_3bpm_roll20,hr_burden_above_baseline_plus_3bpm_roll20_100,hr_roll20_valid_sample_count,hr_roll20_coverage_ratio,drive_post10_center_line_crossing_sum,drive_post10_collision_sum,drive_post10_panic_braking_sum
0,1,1,1.0,True,1633.0,1.63,False,1752069726581,1752069728214.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:06.581000+02:00,2025-07-09 16:02:08.214000+02:00,2025-07-09 16:02:06.581000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.7142857142857143,71.42857142857143,21.0,1.0,0.0,0.0,0.0
0,2,4,4.0,True,1020.0,1.02,False,1752069728215,1752069729235.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:08.215000+02:00,2025-07-09 16:02:09.235000+02:00,2025-07-09 16:02:08.215000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.6666666666666666,66.66666666666666,21.0,1.0,0.0,0.0,0.0
1,1,3,3.0,True,1640.0,1.64,False,1752069736590,1752069738230.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:16.590000+02:00,2025-07-09 16:02:18.230000+02:00,2025-07-09 16:02:16.590000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.2857142857142857,28.57142857142857,21.0,1.0,0.0,0.0,0.0
1,2,1,1.0,True,827.0,0.83,False,1752069738231,1752069739058.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:18.231000+02:00,2025-07-09 16:02:19.058000+02:00,2025-07-09 16:02:18.231000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.23809523809523808,23.809523809523807,21.0,1.0,0.0,0.0,0.0
2,1,4,4.0,True,2827.0,2.83,False,1752069746597,1752069749424.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:26.597000+02:00,2025-07-09 16:02:29.424000+02:00,2025-07-09 16:02:26.597000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.0,0.0,0.0
2,2,1,1.0,True,702.0,0.7,False,1752069749427,1752069750129.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:29.427000+02:00,2025-07-09 16:02:30.129000+02:00,2025-07-09 16:02:29.427000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.0,0.0,0.0
3,1,3,3.0,True,1920.0,1.92,False,1752069756600,1752069758520.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:36.600000+02:00,2025-07-09 16:02:38.520000+02:00,2025-07-09 16:02:36.600000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,1.3007070707070707,0.0,0.0
3,2,4,4.0,True,1207.0,1.21,False,1752069758525,1752069759732.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:38.525000+02:00,2025-07-09 16:02:39.732000+02:00,2025-07-09 16:02:38.525000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,1.3007070707070707,0.0,0.0
4,1,2,2.0,True,1899.0,1.9,False,1752069766605,1752069768504.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:46.605000+02:00,2025-07-09 16:02:48.504000+02:00,2025-07-09 16:02:46.605000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.0,0.0,0.0
4,2,1,1.0,True,1139.0,1.14,False,1752069768505,1752069769644.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:48.505000+02:00,2025-07-09 16:02:49.644000+02:00,2025-07-09 16:02:48.505000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.0,0.0,0.0
