metric,n_participants,mean_recovery_minus_control,median_recovery_minus_control,ci95_low,ci95_high,fraction_positive
clean_observation_s,32,0.0,0.0,0.0,0.0,0.0
future_event_clean,32,0.010811087186469179,0.0,-0.007816674268316752,0.031870362925601706,0.3125
future_risk_score_clean,32,0.05567584258403359,0.0,-0.028988358291822516,0.14986553868477484,0.34375
future_event_fixed_5_15,32,-0.016926062195028645,-0.015151515151515152,-0.04752325972902544,0.013243367595578263,0.3125
future_risk_score_fixed_5_15,32,-0.07884561165487347,-0.05808080808080808,-0.21400139533804552,0.05025428950167026,0.3125
hr_pre10,32,0.9220122289693268,0.7708024691358027,-0.3337193003268293,2.3192523747058,0.5625
hr_post5,32,0.8580811422632897,0.8481481481481485,-0.5672027873985062,2.314391430623231,0.5625
hr_delta_post5_pre10,32,-0.0639310867060369,-0.1266233766233753,-0.23969687065600903,0.1056306475056001,0.4375
hr_slope_pre10,32,-0.003095317090031585,-0.01316359079516968,-0.03131512617541655,0.026010968728967934,0.40625
hr_slope_post5,32,-0.018361683393718915,-0.021428571428570863,-0.09071636018980452,0.05486276441036441,0.46875
hr_slope_change,32,-0.015266366303687343,-0.009313131313129372,-0.09625107698249266,0.06944118365663937,0.46875
hr_burden_plus3_post5,32,-0.03661224292225254,-0.0076814658210007025,-0.14416624083938137,0.06880580361105233,0.4375
hr_coverage_post5,32,0.011029411764705883,0.0,0.0,0.03308823529411765,0.03125
